tag,seed,scale,lo,hi,cond_density,gen_density,precision,recall,f1,chamfer,sec,source,clip
e2_synth_sparse_s1.6,0,1.6,100,200,0.008056640625,0.009029388427734375,0.8149556400506971,0.9805871212121212,0.8901319670391555,2.1488449573516846,116.6,synth_sparse,0.2825
e2_synth_sparse_s2.0,0,2.0,100,200,0.008056640625,0.00972747802734375,0.832156862745098,0.9990530303030303,0.9079995019348696,1.4262795448303223,79.9,synth_sparse,0.2689
e2_synth_sparse_s2.5,0,2.5,100,200,0.008056640625,0.0102996826171875,0.7666666666666667,0.9862689393939394,0.8627122611780383,2.1088786125183105,79.2,synth_sparse,0.2513
e2_synth_sparse_s3.0,0,3.0,100,200,0.008056640625,0.010906219482421875,0.7894368660370759,1.0,0.882329945269742,1.7586344480514526,99.2,synth_sparse,0.2353
e2_synth_mid_s1.6,0,1.6,100,200,0.0467529296875,0.056476593017578125,0.8455251604187775,0.9838446475195822,0.9094557041570897,1.326197862625122,79.9,synth_mid,0.2752
e2_synth_mid_s2.0,0,2.0,100,200,0.0467529296875,0.0539398193359375,0.8991513437057992,0.9991024804177546,0.946495485852317,0.8714979887008667,76.5,synth_mid,0.2532
e2_synth_mid_s2.5,0,2.5,100,200,0.0467529296875,0.048389434814453125,0.9793456838785968,0.9995920365535248,0.9893652908130408,0.36696141958236694,76.2,synth_mid,0.2402
e2_synth_mid_s3.0,0,3.0,100,200,0.0467529296875,0.04798126220703125,0.9965813324852918,0.9989392950391645,0.9977589206452318,0.29744142293930054,77.5,synth_mid,0.2449
e2_synth_veryd_s1.6,0,1.6,100,200,0.131591796875,0.1141204833984375,0.992278379462495,0.9695037105751392,0.9807588474761942,0.7077895402908325,78.4,synth_veryd,0.2053
e2_synth_veryd_s2.0,0,2.0,100,200,0.131591796875,0.11311721801757812,0.9915354264324014,0.9565746753246753,0.9737413483529691,0.7280875444412231,75.9,synth_veryd,0.2029
e2_synth_veryd_s2.5,0,2.5,100,200,0.131591796875,0.11823272705078125,0.9723172226882623,0.9422541743970315,0.9570496700315303,0.7990800738334656,135.8,synth_veryd,0.202
e2_synth_veryd_s3.0,0,3.0,100,200,0.131591796875,0.12564468383789062,0.9503597777575371,0.9457038497217068,0.9480260972474219,0.8387320041656494,101.4,synth_veryd,0.2038
e2_astronaut_s1.6,0,1.6,100,200,0.09000015258789062,0.09688186645507812,0.9567665472299878,0.9744839571059213,0.9655439818687347,0.7673290967941284,103.6,astronaut,0.2888
e2_astronaut_s2.0,0,2.0,100,200,0.09000015258789062,0.10948944091796875,0.9393073653403944,0.9956342983088204,0.9666509819456074,0.7368267178535461,103.0,astronaut,0.3031
e2_astronaut_s2.5,0,2.5,100,200,0.09000015258789062,0.11619186401367188,0.9331232148133557,0.9983469673208155,0.9646338216997133,0.7452503442764282,119.9,astronaut,0.2958
e2_astronaut_s3.0,0,3.0,100,200,0.09000015258789062,0.11980819702148438,0.9266723978730856,0.9986860509473149,0.9613324709700103,0.7535492777824402,114.0,astronaut,0.2939
e2_camera_s1.6,0,1.6,100,200,0.07509613037109375,0.119476318359375,0.7533205619412516,0.9919231941481256,0.856311487047039,2.6940319538116455,116.1,camera,0.2895
e2_camera_s2.0,0,2.0,100,200,0.07509613037109375,0.12020111083984375,0.7754681053633767,0.9962917809610891,0.8721187399425226,2.378941297531128,113.3,camera,0.2879
e2_camera_s2.5,0,2.5,100,200,0.07509613037109375,0.12811279296875,0.7568187232015245,0.9984252768464899,0.8609936205045216,2.4992055892944336,105.9,camera,0.2918
e2_camera_s3.0,0,3.0,100,200,0.07509613037109375,0.1322784423828125,0.7412331295420463,0.9989332520572997,0.8510018679311835,2.6550419330596924,119.8,camera,0.2948
e2_coffee_s1.6,0,1.6,100,200,0.05858612060546875,0.06180572509765625,0.9440192568818664,0.9566349785128272,0.9502852488425845,0.94258713722229,113.4,coffee,0.3102
e2_coffee_s2.0,0,2.0,100,200,0.05858612060546875,0.06842041015625,0.9385035682426405,0.9899075400442766,0.9635204387379238,0.7034576535224915,110.5,coffee,0.3133
e2_coffee_s2.5,0,2.5,100,200,0.05858612060546875,0.07432937622070312,0.9135232229920451,0.9974606068498503,0.9536484968085412,0.7473165988922119,104.0,coffee,0.2787
e2_coffee_s3.0,0,3.0,100,200,0.05858612060546875,0.08019638061523438,0.8986348285211435,0.9982419585883578,0.9458231524311177,0.7873470783233643,107.0,coffee,0.2489
e2_chelsea_s1.6,0,1.6,100,200,0.04433441162109375,0.08449554443359375,0.6826185101580136,0.9891584925141972,0.8077846451900015,2.150930404663086,109.0,chelsea,0.2617
e2_chelsea_s2.0,0,2.0,100,200,0.04433441162109375,0.08339691162109375,0.7288445704876041,0.9974186886938565,0.8422390871043459,1.5841894149780273,104.4,chelsea,0.2646
e2_chelsea_s2.5,0,2.5,100,200,0.04433441162109375,0.08744049072265625,0.7371084547596196,0.9991395628979521,0.8483514011903811,1.4140045642852783,104.2,chelsea,0.277
e2_chelsea_s3.0,0,3.0,100,200,0.04433441162109375,0.08942413330078125,0.7320194522651651,0.9993976940285665,0.8450633102991686,1.4269413948059082,114.6,chelsea,0.2814
