source,alpha,seed,dens_before,dens_after,scale_after,f1_before,f1_after,f1c_before,f1c_after,clip_before,clip_after
synth_sparse,0.3,0,0.0063018798828125,0.008056640625,1.4,0.6106607304506888,0.8699839059361824,0.6403048544761696,0.8699839059361824,0.3112415075302124,0.2774761915206909
synth_sparse,0.3,1,0.0063018798828125,0.008056640625,1.4,0.591212744453034,0.662973116034838,0.5864623580228784,0.662973116034838,0.29013922810554504,0.2926909625530243
synth_sparse,0.3,2,0.0063018798828125,0.008056640625,1.4,0.8520302164343652,0.8790044826472718,0.8353345448628278,0.8790044826472718,0.3044109046459198,0.28233247995376587
synth_sparse,1.0,0,0.008056640625,0.008056640625,1.4,0.3332293042616225,0.875342001508228,0.33322930426162256,0.875342001508228,0.32088544964790344,0.2772964835166931
synth_sparse,1.0,1,0.008056640625,0.008056640625,1.4,0.4711926010740813,0.6724169540609851,0.4711926010740813,0.6724169540609851,0.28357988595962524,0.29159992933273315
synth_sparse,1.0,2,0.008056640625,0.008056640625,1.4,0.8925844221958257,0.875438050973731,0.8925844221958257,0.875438050973731,0.29437509179115295,0.28331097960472107
synth_low,0.3,0,0.016082763671875,0.020050048828125,1.332666015625,0.8052837989773319,0.896617295063572,0.8076904645950882,0.896617295063572,0.3124026358127594,0.304216593503952
synth_low,0.3,1,0.016082763671875,0.020050048828125,1.332666015625,0.6935560193557723,0.6958051246923919,0.7089666735078476,0.6958051246923919,0.2641798257827759,0.2880426049232483
synth_low,0.3,2,0.016082763671875,0.020050048828125,1.332666015625,0.8297401064097777,0.8580752378407464,0.8359320770309607,0.8580752378407464,0.29917532205581665,0.3031267821788788
synth_low,1.0,0,0.020050048828125,0.020050048828125,1.332666015625,0.830453852480114,0.8895007785298035,0.830453852480114,0.8895007785298035,0.3018837571144104,0.3033492863178253
synth_low,1.0,1,0.020050048828125,0.020050048828125,1.332666015625,0.696282680236497,0.7047897162825028,0.696282680236497,0.7047897162825028,0.28442510962486267,0.28788939118385315
synth_low,1.0,2,0.020050048828125,0.020050048828125,1.332666015625,0.7096478929367552,0.8505084000678621,0.7096478929367552,0.8505084000678621,0.2783399224281311,0.30135980248451233
synth_mid,0.3,0,0.04486083984375,0.0449790954589843,1.0002787272135416,0.879378617259183,0.8785243750559475,0.8828062101362727,0.8820535643821513,0.2910202443599701,0.2878398895263672
synth_mid,0.3,1,0.04486083984375,0.0449790954589843,1.0002787272135416,0.8993767636712204,0.897163943316202,0.9057623211362286,0.9037056151776558,0.2825782895088196,0.2832542657852173
synth_mid,0.3,2,0.04486083984375,0.0449790954589843,1.0002787272135416,0.9115116438108728,0.9126916867104083,0.9127602803686743,0.9139669797806599,0.2987157106399536,0.29924067854881287
synth_mid,1.0,0,0.0467529296875,0.0467529296875,0.9766276041666666,0.8862382804367887,0.8821735001090498,0.8862382804367887,0.8821735001090498,0.2949983477592468,0.2959606647491455
synth_mid,1.0,1,0.0467529296875,0.0467529296875,0.9766276041666666,0.9260123015444448,0.9214291636347876,0.9260123015444449,0.9214291636347877,0.2843421399593353,0.28358909487724304
synth_mid,1.0,2,0.0467529296875,0.0467529296875,0.9766276041666666,0.9151608246898572,0.9118964507943972,0.9151608246898572,0.9118964507943972,0.2935950458049774,0.2943909764289856
synth_dense,0.3,0,0.08837890625,0.06103515625,0.7861979166666666,0.8627314286057562,0.7578396845186085,0.8627314286057562,0.752693842317111,0.27495771646499634,0.3007703721523285
synth_dense,0.3,1,0.08837890625,0.06103515625,0.7861979166666666,0.9520713604513796,0.6402089805410306,0.9520713604513797,0.6810594445871415,0.29528725147247314,0.3058137893676758
synth_dense,0.3,2,0.08837890625,0.06103515625,0.7861979166666666,0.945527726274264,0.583026076730662,0.9455277262742641,0.6301438755909018,0.2925078272819519,0.28421860933303833
synth_dense,1.0,0,0.08837890625,0.08837890625,0.4216145833333332,0.8627314286057562,0.3293507638691885,0.8627314286057562,0.3293507638691885,0.27495771646499634,0.3149239420890808
synth_dense,1.0,1,0.08837890625,0.08837890625,0.4216145833333332,0.9520713604513796,0.7047209572961917,0.9520713604513797,0.7047209572961917,0.29528725147247314,0.3170492351055145
synth_dense,1.0,2,0.08837890625,0.08837890625,0.4216145833333332,0.945527726274264,0.7132325891262123,0.9455277262742641,0.7132325891262123,0.2925078272819519,0.3493714928627014
synth_veryd,0.3,0,0.131591796875,0.0,1.4,0.9573572325077055,0.0,0.9573572325077055,0.3956178266387215,0.2513551414012909,0.32084232568740845
synth_veryd,0.3,1,0.131591796875,0.0,1.4,0.9357673421466636,0.0,0.9357673421466635,0.6977784557557143,0.2843203544616699,0.3134748041629791
synth_veryd,0.3,2,0.131591796875,0.0,1.4,0.8237414502005017,0.0,0.8237414502005017,0.5034625460163522,0.274005651473999,0.32419484853744507
synth_veryd,1.0,0,0.131591796875,0.131591796875,0.4,0.9573572325077055,0.2780918769885329,0.9573572325077055,0.27809187698853294,0.2513551414012909,0.3293095529079437
synth_veryd,1.0,1,0.131591796875,0.131591796875,0.4,0.9357673421466636,0.6181788788755862,0.9357673421466635,0.6181788788755862,0.2843203544616699,0.3240719735622406
synth_veryd,1.0,2,0.131591796875,0.131591796875,0.4,0.8237414502005017,0.5076784432109952,0.8237414502005017,0.5076784432109952,0.274005651473999,0.3213932514190674
astronaut,0.3,0,0.0291213989257812,0.044952392578125,1.000634765625,0.5676563724069088,0.7273370022246698,0.6811137387315145,0.6984922728517589,0.30502286553382874,0.302160382270813
astronaut,0.3,1,0.0291213989257812,0.044952392578125,1.000634765625,0.4844568980573048,0.784000157105077,0.6531459169336596,0.7410950029867793,0.3064613342285156,0.30403557419776917
astronaut,0.3,2,0.0291213989257812,0.044952392578125,1.000634765625,0.5732460387910918,0.7690374453651395,0.6276844496109186,0.7218243072578069,0.28656184673309326,0.2815433144569397
