source,density,best_scale,best_f1
astronaut,0.0900001525878906,1.3,0.9201857170807232
camera,0.0750961303710937,1.3,0.8323741250155373
chelsea,0.0443344116210937,1.3,0.730560539694242
coffee,0.0585861206054687,1.3,0.8848860263596586
synth_mid,0.0467529296875,1.3,0.9061670454373478
synth_sparse,0.008056640625,1.3,0.8772478040730234
synth_veryd,0.131591796875,1.3,0.9784184223635342
