source,alpha,seed,dens_before,dens_after,scale_after,f1_before,f1_after,rec_before,rec_after,chamfer_before,chamfer_after
synth_sparse,0.3,0,0.0063018798828125,0.008056640625,1.4,0.6106607304506888,0.8699839059361824,0.975181598062954,0.9678030303030303,26.62433624267578,2.8400626182556152
synth_sparse,0.3,1,0.0063018798828125,0.008056640625,1.4,0.591212744453034,0.662973116034838,0.8904358353510896,0.9815340909090909,4.951874732971191,3.725489377975464
synth_sparse,0.3,2,0.0063018798828125,0.008056640625,1.4,0.8520302164343652,0.8790044826472718,0.923728813559322,0.9176136363636364,4.196246147155762,2.9476590156555176
synth_sparse,1.0,0,0.008056640625,0.008056640625,1.4,0.33322930426162256,0.875342001508228,0.9725378787878788,0.9668560606060606,43.427650451660156,2.7684974670410156
synth_sparse,1.0,1,0.008056640625,0.008056640625,1.4,0.4711926010740813,0.6724169540609851,0.9616477272727273,0.9796401515151515,9.348483085632324,3.614943265914917
synth_sparse,1.0,2,0.008056640625,0.008056640625,1.4,0.8925844221958257,0.875438050973731,0.9090909090909091,0.915719696969697,2.7970941066741943,2.994655132293701
synth_low,0.3,0,0.016082763671875,0.020050048828125,1.332666015625,0.8052837989773319,0.896617295063572,0.9637096774193549,0.9826864535768646,3.0409674644470215,1.7684979438781738
synth_low,0.3,1,0.016082763671875,0.020050048828125,1.332666015625,0.6935560193557723,0.6958051246923919,0.9603889943074004,0.9785007610350076,5.466154098510742,4.781581401824951
synth_low,0.3,2,0.016082763671875,0.020050048828125,1.332666015625,0.8297401064097777,0.8580752378407464,0.9945445920303605,0.9874429223744292,2.725027561187744,2.4073758125305176
synth_low,1.0,0,0.020050048828125,0.020050048828125,1.332666015625,0.830453852480114,0.8895007785298035,0.9594748858447488,0.9764079147640792,2.838229179382324,1.826249599456787
synth_low,1.0,1,0.020050048828125,0.020050048828125,1.332666015625,0.696282680236497,0.7047897162825028,0.9627092846270928,0.9790715372907154,4.8070969581604,4.678299427032471
synth_low,1.0,2,0.020050048828125,0.020050048828125,1.332666015625,0.7096478929367552,0.8505084000678621,0.989345509893455,0.9842085235920852,5.755581855773926,2.507453441619873
synth_mid,0.3,0,0.04486083984375,0.044979095458984375,1.0002787272135416,0.879378617259183,0.8785243750559475,0.9805272108843538,0.9793062505300653,1.8279321193695068,1.8401750326156616
synth_mid,0.3,1,0.04486083984375,0.044979095458984375,1.0002787272135416,0.8993767636712204,0.897163943316202,0.9686224489795918,0.9681112713086252,1.6575909852981567,1.6766016483306885
synth_mid,0.3,2,0.04486083984375,0.044979095458984375,1.0002787272135416,0.9115116438108728,0.9126916867104083,0.9979591836734694,0.9961835298108727,1.6908093690872192,1.6828488111495972
