tag,seed,scale,lo,hi,cond_density,gen_density,precision,recall,f1,chamfer,sec,source,clip
ev_cell_s0,0,1.0,100,200,0.00164794921875,0.18338775634765625,0.009714190622789866,1.0,0.01924146597721514,91.18022918701172,118.3,cell,0.2967
ev_cell_s1,1,1.0,100,200,0.00164794921875,0.22744369506835938,0.007396474514868423,1.0,0.014684336707511986,97.11263275146484,114.9,cell,0.3151
ev_cell_s2,2,1.0,100,200,0.00164794921875,0.3261070251464844,0.0067846573163171005,1.0,0.013477871890503909,82.99629974365234,105.7,cell,0.2954
ev_cell_s3,3,1.0,100,200,0.00164794921875,0.037158966064453125,0.07001334565239709,1.0,0.1308644344238703,34.559913635253906,106.4,cell,0.2774
ev_cell_s4,4,1.0,100,200,0.00164794921875,0.2523956298828125,0.007058218971041654,1.0,0.014017499362158754,102.67596435546875,105.2,cell,0.2989
ev_synth_low_s0,0,1.0,100,200,0.020050048828125,0.0241851806640625,0.7320189274447949,0.9594748858447488,0.830453852480114,2.838229179382324,104.4,synth_low,0.3019
ev_synth_low_s1,1,1.0,100,200,0.020050048828125,0.035533905029296875,0.5453569511540526,0.9627092846270928,0.696282680236497,4.8070969581604,108.3,synth_low,0.2844
ev_synth_low_s2,2,1.0,100,200,0.020050048828125,0.03754425048828125,0.5532412111359479,0.989345509893455,0.7096478929367552,5.755581855773926,106.1,synth_low,0.2783
ev_synth_low_s3,3,1.0,100,200,0.020050048828125,0.02492523193359375,0.7687480869299052,0.9729832572298326,0.858891378533592,3.0719220638275146,105.1,synth_low,0.2861
ev_synth_low_s4,4,1.0,100,200,0.020050048828125,0.04874420166015625,0.3501330411645015,0.853310502283105,0.49652881989972525,10.864482879638672,104.6,synth_low,0.2805
ev_coffee_s0,0,1.0,100,200,0.05858612060546875,0.03119659423828125,0.8755196869650281,0.5255241567912489,0.6568056343088631,5.48878812789917,105.3,coffee,0.2941
ev_coffee_s1,1,1.0,100,200,0.05858612060546875,0.06215667724609375,0.7089726279612127,0.764813126709207,0.7358350026439451,4.421828269958496,104.2,coffee,0.3014
ev_coffee_s2,2,1.0,100,200,0.05858612060546875,0.06551361083984375,0.7740188657272622,0.8450970178408647,0.8079977990669309,2.514331102371216,105.6,coffee,0.3039
ev_coffee_s3,3,1.0,100,200,0.05858612060546875,0.040386199951171875,0.8773968074053083,0.662456048964709,0.7549251475600764,3.4380364418029785,105.2,coffee,0.3144
ev_coffee_s4,4,1.0,100,200,0.05858612060546875,0.10455703735351562,0.6206720420299902,0.9390545643964058,0.7473680472719496,2.8812570571899414,107.8,coffee,0.3161
ev_synth_dense_s0,0,1.0,100,200,0.08837890625,0.12444686889648438,0.7600465928945835,0.997496546961326,0.8627314286057562,1.3641016483306885,105.6,synth_dense,0.275
ev_synth_dense_s1,1,1.0,100,200,0.08837890625,0.0784759521484375,0.9281547734785145,0.9772531077348067,0.9520713604513797,0.8565037250518799,104.6,synth_dense,0.2953
ev_synth_dense_s2,2,1.0,100,200,0.08837890625,0.08782958984375,0.9087473940236275,0.98541091160221,0.9455277262742641,0.9379607439041138,105.2,synth_dense,0.2925
ev_synth_dense_s3,3,1.0,100,200,0.08837890625,0.07402420043945312,0.9409945890234476,0.9645200276243094,0.9526120860682926,0.9209598898887634,104.1,synth_dense,0.2859
ev_synth_dense_s4,4,1.0,100,200,0.08837890625,0.1070404052734375,0.7473627940128297,0.988950276243094,0.8513495109310651,2.3049492835998535,106.1,synth_dense,0.2948
ev_immunohistochemistry_s0,0,1.0,100,200,0.18843460083007812,0.17659378051757812,0.9070269803209988,0.7990161345830719,0.8496024343668377,2.059110641479492,105.9,immunohistochemistry,0.3237
ev_immunohistochemistry_s1,1,1.0,100,200,0.18843460083007812,0.2010955810546875,0.8817436831322558,0.8087738121748285,0.8436839038313619,2.2594096660614014,104.5,immunohistochemistry,0.3195
ev_immunohistochemistry_s2,2,1.0,100,200,0.18843460083007812,0.237945556640625,0.8608920097473387,0.9232544486507278,0.8909833316270955,1.3135616779327393,107.6,immunohistochemistry,0.3049
ev_immunohistochemistry_s3,3,1.0,100,200,0.18843460083007812,0.19057464599609375,0.9192922054525802,0.8523594550276332,0.8845614752939899,1.4939231872558594,106.1,immunohistochemistry,0.32
ev_immunohistochemistry_s4,4,1.0,100,200,0.18843460083007812,0.3368110656738281,0.7501840463003863,0.9983602243051197,0.8566599374406684,1.4447879791259766,106.4,immunohistochemistry,0.2873
