tag,seed,scale,lo,hi,cond_density,gen_density,precision,recall,f1,chamfer,sec,source,alpha,clip
e1_synth_sparse_a0.15,0,1.0,100,200,0.0,0.0820770263671875,0.0,0.0,0.0,nan,184.1,synth_sparse,0.15,0.324
e1_synth_sparse_a0.3,0,1.0,100,200,0.0063018798828125,0.013885498046875,0.4445054945054945,0.975181598062954,0.6106607304506888,26.62433624267578,145.5,synth_sparse,0.3,0.3112
e1_synth_sparse_a0.5,0,1.0,100,200,0.008056640625,0.041019439697265625,0.2010601692550916,0.9725378787878788,0.33322930426162256,43.427650451660156,122.4,synth_sparse,0.5,0.3209
e1_synth_sparse_a1.0,0,1.0,100,200,0.008056640625,0.041019439697265625,0.2010601692550916,0.9725378787878788,0.33322930426162256,43.427650451660156,140.2,synth_sparse,1.0,0.3209
e1_synth_low_a0.15,0,1.0,100,200,0.0,0.0820770263671875,0.0,0.0,0.0,nan,133.9,synth_low,0.15,0.324
e1_synth_low_a0.3,0,1.0,100,200,0.016082763671875,0.023365020751953125,0.6915918367346939,0.9637096774193549,0.8052837989773319,3.0409674644470215,147.2,synth_low,0.3,0.3124
e1_synth_low_a0.5,0,1.0,100,200,0.020050048828125,0.0241851806640625,0.7320189274447949,0.9594748858447488,0.830453852480114,2.838229179382324,119.1,synth_low,0.5,0.3019
e1_synth_low_a1.0,0,1.0,100,200,0.020050048828125,0.0241851806640625,0.7320189274447949,0.9594748858447488,0.830453852480114,2.838229179382324,120.3,synth_low,1.0,0.3019
e1_synth_mid_a0.15,0,1.0,100,200,0.0,0.0820770263671875,0.0,0.0,0.0,nan,131.9,synth_mid,0.15,0.324
e1_synth_mid_a0.3,0,1.0,100,200,0.04486083984375,0.05214691162109375,0.7971470373079736,0.9805272108843538,0.879378617259183,1.8279321193695068,148.7,synth_mid,0.3,0.291
e1_synth_mid_a0.5,0,1.0,100,200,0.0467529296875,0.053592681884765625,0.803046480176525,0.9886586161879896,0.8862382804367887,1.8089704513549805,134.8,synth_mid,0.5,0.295
e1_synth_mid_a1.0,0,1.0,100,200,0.0467529296875,0.053592681884765625,0.803046480176525,0.9886586161879896,0.8862382804367887,1.8089704513549805,131.7,synth_mid,1.0,0.295
e1_synth_dense_a0.15,0,1.0,100,200,0.0,0.0820770263671875,0.0,0.0,0.0,nan,133.7,synth_dense,0.15,0.324
e1_synth_dense_a0.3,0,1.0,100,200,0.08837890625,0.12444686889648438,0.7600465928945835,0.997496546961326,0.8627314286057562,1.3641016483306885,121.9,synth_dense,0.3,0.275
e1_synth_dense_a0.5,0,1.0,100,200,0.08837890625,0.12444686889648438,0.7600465928945835,0.997496546961326,0.8627314286057562,1.3641016483306885,162.1,synth_dense,0.5,0.275
e1_synth_dense_a1.0,0,1.0,100,200,0.08837890625,0.12444686889648438,0.7600465928945835,0.997496546961326,0.8627314286057562,1.3641016483306885,135.2,synth_dense,1.0,0.275
e1_synth_veryd_a0.15,0,1.0,100,200,0.0,0.0820770263671875,0.0,0.0,0.0,nan,128.7,synth_veryd,0.15,0.324
e1_synth_veryd_a0.3,0,1.0,100,200,0.131591796875,0.16665267944335938,0.9216013917183602,0.9959995361781077,0.9573572325077055,0.8266855478286743,123.9,synth_veryd,0.3,0.2514
e1_synth_veryd_a0.5,0,1.0,100,200,0.131591796875,0.16665267944335938,0.9216013917183602,0.9959995361781077,0.9573572325077055,0.8266855478286743,125.7,synth_veryd,0.5,0.2514
e1_synth_veryd_a1.0,0,1.0,100,200,0.131591796875,0.16665267944335938,0.9216013917183602,0.9959995361781077,0.9573572325077055,0.8266855478286743,127.7,synth_veryd,1.0,0.2514
e1_astronaut_a0.15,0,1.0,100,200,6.866455078125e-05,0.0933074951171875,0.0006950122649223222,0.7777777777777778,0.0013887835306611895,140.45018005371094,126.8,astronaut,0.15,0.3001
e1_astronaut_a0.3,0,1.0,100,200,0.02912139892578125,0.0890045166015625,0.39992285273444195,0.9777312025150642,0.5676563724069088,7.490431785583496,122.7,astronaut,0.3,0.305
e1_astronaut_a0.5,0,1.0,100,200,0.054416656494140625,0.07469558715820312,0.7114549818701803,0.9064143007360673,0.797187976593778,2.497164726257324,119.1,astronaut,0.5,0.2989
e1_astronaut_a1.0,0,1.0,100,200,0.09000015258789062,0.06668853759765625,0.9109941654272966,0.7140253465010808,0.8005724483366793,2.257591962814331,109.9,astronaut,1.0,0.303
e1_camera_a0.15,0,1.0,100,200,0.0,0.017635345458984375,0.0,0.0,0.0,nan,112.9,camera,0.15,0.2929
e1_camera_a0.3,0,1.0,100,200,0.0138702392578125,0.0437774658203125,0.3745207389334263,0.9724972497249725,0.5407802889707172,8.079708099365234,121.8,camera,0.3,0.2867
e1_camera_a0.5,0,1.0,100,200,0.0252838134765625,0.057140350341796875,0.4719273649776354,0.9396499698249849,0.6282993121631929,8.132791519165039,115.7,camera,0.5,0.2875
e1_camera_a1.0,0,1.0,100,200,0.07509613037109375,0.10298919677734375,0.6594192162382398,0.890429747028345,0.757708008737944,6.000296115875244,102.8,camera,1.0,0.2971
e1_coffee_a0.15,0,1.0,100,200,0.0001068115234375,0.02777862548828125,0.0021971985718209283,0.5714285714285714,0.004377564979480165,86.73448181152344,104.7,coffee,0.15,0.2859
